MEMBER_NO,ENROLLED_DATE,BIRTH_DATE,GENDER,CIVIL_STATUS,BRANCH_CODE,BRANCH_TYPE,STATE
9946910374,2018-01-04,1995-10-21,M,S,443,STORE,VIC
5218880921,2019-04-20,1983-11-09,F,D,119,STORE,TAS
1231130840,2019-03-02,1985-03-16,O,W,MOB,MOBILE,ACT
6417181135,2018-06-08,1988-02-29,M,W,MOB,MOBILE,NSW
4457034841,2018-06-01,1997-07-21,M,W,431,STORE,SA
4161099774,2017-09-25,1995-05-23,O,D,MOB,MOBILE,ACT
2797877520,2018-02-02,2001-04-08,O,D,646,STORE,WA
2690183236,2019-04-29,1981-10-27,M,S,MOB,MOBILE,QLD
9213400351,2018-04-30,1988-07-19,M,D,MOB,MOBILE,NSW
7118793488,2017-01-18,1975-11-12,O,W,517,STORE,NT
5385825171,2018-05-07,1977-10-24,M,S,477,STORE,VIC
4114118930,2017-02-22,1992-08-15,O,S,657,STORE,SA
3494985156,2019-06-05,1998-06-09,O,S,MOB,MOBILE,ACT
5368151888,2017-08-27,1998-12-20,F,M,MOB,MOBILE,NT
5737997553,2017-02-27,1981-12-10,M,M,MOB,MOBILE,VIC
6430175244,2019-09-16,1986-08-18,O,M,MOB,MOBILE,WA
448812065,2019-05-20,1983-02-13,M,W,966,STORE,TAS
5844507028,2018-07-03,1970-08-12,O,W,MOB,MOBILE,ACT
8124118770,2017-03-11,1976-12-27,F,S,MOB,MOBILE,WA
6748268100,2017-03-01,2003-07-28,M,M,MOB,MOBILE,NSW
8566110014,2019-08-28,1996-11-26,O,M,079,STORE,QLD
555951155,2018-06-14,1970-03-24,O,D,076,STORE,NSW
3527159635,2017-10-16,2001-10-31,O,M,MOB,MOBILE,WA
1465989981,2017-03-30,1989-11-15,M,W,MOB,MOBILE,TAS
3352632726,2018-06-06,1998-04-29,F,W,958,STORE,QLD
3075308085,2019-06-25,1978-08-29,M,W,MOB,MOBILE,QLD
1333480912,2017-07-19,1970-07-23,O,W,314,STORE,VIC
8034239147,2019-05-27,1992-09-02,M,W,377,STORE,QLD
9690950873,2019-07-14,2005-11-19,M,W,949,STORE,SA
9888866209,2017-07-19,1981-08-19,O,M,MOB,MOBILE,QLD
8761132438,2019-06-01,1973-04-10,M,W,MOB,MOBILE,VIC
8691096732,2019-12-13,2004-12-01,M,W,980,STORE,NT
9865638531,2019-09-28,1992-02-25,F,D,525,STORE,TAS
6834387611,2017-05-23,1982-12-24,O,D,005,STORE,TAS
6290555644,2019-10-27,1980-09-12,O,S,MOB,MOBILE,WA
5177223322,2019-03-06,1997-01-23,O,D,MOB,MOBILE,VIC
5340323650,2017-02-12,1986-04-19,M,D,330,STORE,NSW
5213271007,2017-07-14,1976-08-03,O,D,202,STORE,WA
470125339,2017-01-16,1978-03-11,F,W,578,STORE,NSW
9657845934,2017-09-11,1997-03-23,F,W,MOB,MOBILE,WA
4761181055,2017-10-05,1983-05-03,M,S,449,STORE,TAS
1072417884,2019-01-05,1972-03-01,M,D,MOB,MOBILE,ACT
8094456893,2017-11-16,1985-11-19,F,W,429,STORE,VIC
3469504881,2018-12-19,1990-06-08,M,D,MOB,MOBILE,ACT
2821613210,2019-02-03,1997-06-16,F,S,055,STORE,NSW
1298984299,2017-01-22,1977-06-10,M,S,280,STORE,QLD
2911114766,2018-04-29,1994-12-25,M,W,MOB,MOBILE,QLD
472371562,2019-08-27,1984-02-16,M,M,649,STORE,SA
5844951829,2017-10-23,1971-03-02,F,M,801,STORE,SA
8734172837,2019-04-28,1994-03-28,M,S,MOB,MOBILE,NT
8620805898,2019-09-27,1990-12-25,F,S,957,STORE,QLD
8822803267,2019-12-06,2004-03-05,M,D,319,STORE,VIC
9413149869,2017-06-09,2000-06-20,M,W,260,STORE,NT
6981214875,2019-10-11,1997-07-25,F,M,MOB,MOBILE,TAS
6439540254,2018-04-23,1989-11-28,M,S,464,STORE,SA
7517874558,2018-08-12,2001-03-27,M,D,MOB,MOBILE,NT
2440318909,2017-03-03,1976-01-23,M,D,MOB,MOBILE,NT
2659116647,2017-08-13,1976-04-06,F,W,471,STORE,ACT
8328882649,2018-10-12,1981-11-03,M,W,MOB,MOBILE,NT
3596426570,2017-09-26,1987-01-15,M,D,926,STORE,TAS
9654093720,2018-12-27,1993-09-16,F,S,MOB,MOBILE,NT
6868549314,2017-08-31,1985-01-28,O,M,MOB,MOBILE,WA
4108410010,2018-05-06,1985-04-30,F,M,MOB,MOBILE,TAS
4150900871,2018-02-01,1975-09-30,O,W,271,STORE,NSW
1390867815,2018-10-23,1985-09-11,O,S,MOB,MOBILE,WA
7222185699,2019-07-24,1977-02-18,O,S,MOB,MOBILE,WA
2401731408,2017-11-19,1970-12-09,O,D,910,STORE,NT
64666128,2018-05-09,1996-12-05,F,M,443,STORE,QLD
8346641673,2018-12-09,2001-03-26,M,W,864,STORE,NSW
398969189,2017-02-01,2000-08-06,M,D,297,STORE,VIC
3164896415,2018-07-18,1975-06-03,F,S,MOB,MOBILE,QLD
8931044271,2018-10-17,2001-10-29,O,D,821,STORE,SA
5397767477,2017-11-04,1980-12-10,F,W,139,STORE,WA
8861120883,2019-07-17,2001-09-24,F,W,211,STORE,WA
8075827529,2019-05-19,1970-04-09,F,D,MOB,MOBILE,WA
2556699311,2018-09-10,1975-01-12,M,D,247,STORE,SA
7788619276,2018-06-27,1974-09-16,F,D,MOB,MOBILE,NSW
7359295627,2018-12-25,1997-06-02,O,D,MOB,MOBILE,QLD
135374386,2018-09-12,1999-03-28,O,S,593,STORE,TAS
7000737249,2017-12-14,2002-04-21,M,M,679,STORE,SA
325326277,2018-08-28,1975-05-21,F,D,MOB,MOBILE,ACT
2424347281,2017-04-28,1985-12-17,M,S,MOB,MOBILE,NSW
7705924399,2019-04-20,1974-09-28,O,D,MOB,MOBILE,NT
7890489355,2018-09-03,1982-10-08,F,S,MOB,MOBILE,NT
8364662177,2019-11-28,1979-01-10,O,M,702,STORE,NT
3919143390,2017-05-10,1982-09-21,F,W,140,STORE,SA
7636925711,2017-08-26,1984-02-20,F,W,098,STORE,WA
7482499244,2018-04-23,1972-06-03,F,S,MOB,MOBILE,SA
3062808985,2019-05-26,1978-05-14,O,S,MOB,MOBILE,WA
2756215530,2019-04-22,2003-09-19,O,D,MOB,MOBILE,TAS
8033589865,2017-08-27,1988-05-09,F,D,037,STORE,ACT
7151770715,2018-12-09,1987-05-24,M,D,MOB,MOBILE,WA
2663378460,2017-11-04,1982-12-13,F,D,208,STORE,NT
365134915,2018-07-17,1976-06-30,M,D,MOB,MOBILE,WA
6502517398,2019-07-11,2005-10-31,O,W,MOB,MOBILE,ACT
7519185601,2018-08-18,1990-12-15,O,M,379,STORE,QLD
3873057680,2018-03-20,1979-07-19,M,S,407,STORE,WA
8531302716,2019-12-07,1975-01-02,M,S,MOB,MOBILE,TAS
8728103502,2018-06-25,2003-09-19,F,M,769,STORE,QLD
9871010809,2017-04-18,1990-07-19,O,M,171,STORE,NT
4512331948,2018-09-15,1989-12-06,M,S,899,STORE,QLD
2039345907,2018-06-19,1977-01-12,F,D,713,STORE,VIC
2850541110,2017-05-18,1977-11-19,M,D,650,STORE,TAS
5286282656,2018-07-20,1976-07-25,F,M,010,STORE,SA
5228137644,2017-01-30,1981-12-01,F,D,MOB,MOBILE,SA
5701094540,2018-05-27,1987-10-30,F,S,MOB,MOBILE,NT
6746370338,2019-08-03,2001-10-11,M,M,269,STORE,ACT
1274497065,2019-07-19,1982-06-12,O,W,MOB,MOBILE,QLD
6160227949,2018-08-30,2005-12-07,O,D,MOB,MOBILE,SA
4900308898,2019-12-02,1989-04-24,M,D,172,STORE,ACT
3742437267,2017-02-17,1995-12-29,M,M,885,STORE,NSW
9989209836,2017-09-08,1973-02-28,O,D,939,STORE,NT
3386072897,2019-06-12,1978-07-15,M,W,831,STORE,VIC
5026841652,2017-07-29,1986-06-16,F,S,472,STORE,NSW
6990830540,2017-11-27,1997-06-10,M,S,806,STORE,QLD
7378191,2018-06-28,1986-09-14,F,M,917,STORE,NT
5992080575,2018-06-25,2005-06-28,O,W,401,STORE,VIC
9628978495,2019-02-18,2005-09-30,M,D,226,STORE,NSW
1523712334,2017-10-10,1988-02-15,M,S,033,STORE,WA
7743322124,2018-09-23,1975-02-22,F,D,815,STORE,ACT
1275149756,2019-07-05,1987-10-25,M,S,MOB,MOBILE,SA
1558622380,2018-11-28,1970-10-06,O,M,110,STORE,VIC
8524202565,2017-09-02,1977-04-22,O,D,724,STORE,ACT
7018326741,2019-03-31,1986-03-24,O,W,MOB,MOBILE,NT
4886886370,2017-05-06,2003-04-16,F,D,510,STORE,ACT
9884999547,2017-06-18,1974-09-11,M,M,957,STORE,ACT
9778091720,2017-06-07,1991-12-12,O,W,MOB,MOBILE,SA
3177622117,2019-07-25,1973-11-24,O,D,MOB,MOBILE,VIC
6563035555,2018-02-28,1998-12-17,F,S,MOB,MOBILE,SA
3168312923,2019-04-10,1977-02-17,M,M,058,STORE,WA
492184871,2017-11-16,1990-01-27,F,S,MOB,MOBILE,TAS
5325088820,2019-05-27,1991-11-07,F,D,MOB,MOBILE,NSW
2025801319,2019-03-02,1986-03-22,M,M,732,STORE,NT
7338226805,2019-12-03,1984-12-09,O,S,MOB,MOBILE,SA
2255571421,2017-12-28,1990-07-13,F,S,865,STORE,QLD
744353678,2018-02-19,1970-05-08,O,M,308,STORE,WA
4316690429,2019-04-28,2004-01-01,O,M,878,STORE,QLD
7140603082,2018-11-28,1988-07-10,M,W,434,STORE,NT
8708284750,2019-11-01,1975-05-15,F,S,MOB,MOBILE,NT
7765552457,2019-12-05,1980-01-30,O,M,MOB,MOBILE,NT
8634693797,2017-08-03,1988-06-08,O,W,654,STORE,ACT
6252414250,2017-02-15,1970-03-25,F,W,734,STORE,TAS
2497006218,2018-02-11,1994-02-22,O,D,637,STORE,TAS
4850163567,2019-06-06,1970-04-28,F,M,MOB,MOBILE,NT
6503634103,2018-05-04,1996-10-11,M,M,MOB,MOBILE,TAS
8793513843,2017-08-10,1971-04-24,M,W,MOB,MOBILE,SA
6320528709,2017-11-10,1993-02-06,O,D,MOB,MOBILE,NT
874426495,2017-05-05,1989-10-02,O,W,198,STORE,VIC
4868429721,2017-06-14,1985-01-08,F,W,MOB,MOBILE,SA
7099463479,2019-09-10,1991-12-23,O,M,353,STORE,SA
4961759138,2017-09-20,1972-04-04,F,D,836,STORE,VIC
4623982157,2019-12-18,1976-02-09,O,D,MOB,MOBILE,ACT
4557209180,2019-07-12,2004-12-19,O,S,MOB,MOBILE,NT
9102206596,2018-11-05,1987-05-17,F,S,MOB,MOBILE,ACT
1786546402,2018-05-10,1985-05-07,M,S,081,STORE,ACT
7033763208,2017-12-24,1973-01-30,O,S,510,STORE,QLD
9544368358,2019-10-01,1974-04-09,F,D,106,STORE,ACT
