MEMBER_NO,DATE,BRANCH_CODE,BRANCH_TYPE,AMOUNT,CURRENCY,TRAN_CODE,TRAN_DESC
0773806167,2020-12-06,MOB,MOBILE,9831.75,PHP,IN1003,TYPE3
8666135657,2020-09-20,963,STORE,1369.25,PHP,IN1005,TYPE5
5509330826,2020-10-28,MOB,MOBILE,3539.00,PHP,IN1002,TYPE2
3064271133,2020-10-20,826,STORE,153.75,PHP,IN1001,TYPE1
0443118051,2020-02-02,MOB,MOBILE,2043.25,PHP,IN1001,TYPE1
9559647049,2020-09-22,447,STORE,6436.25,PHP,IN1003,TYPE3
9959931848,2020-12-12,MOB,MOBILE,3889.50,PHP,IN1002,TYPE2
6365985243,2020-02-26,MOB,MOBILE,2160.25,PHP,IN1004,TYPE4
8700231322,2020-07-02,MOB,MOBILE,5330.50,PHP,IN1003,TYPE3
7011759861,2020-02-26,520,STORE,8742.75,PHP,IN1001,TYPE1
9102619148,2020-04-21,300,STORE,7341.00,PHP,IN1005,TYPE5
9806062431,2020-03-11,MOB,MOBILE,861.25,PHP,IN1001,TYPE1
0695049755,2020-07-06,MOB,MOBILE,6559.50,PHP,IN1003,TYPE3
5345946297,2020-01-17,782,STORE,9082.00,PHP,IN1005,TYPE5
0136694797,2020-10-31,MOB,MOBILE,6499.25,PHP,IN1005,TYPE5
4251479882,2020-07-22,849,STORE,379.00,PHP,IN1004,TYPE4
6530320511,2020-09-19,893,STORE,3182.50,PHP,IN1002,TYPE2
9446539303,2020-11-21,319,STORE,5437.75,PHP,IN1002,TYPE2
0567560413,2020-03-20,926,STORE,6367.00,PHP,IN1003,TYPE3
6960727671,2020-07-24,078,STORE,8794.50,PHP,IN1003,TYPE3
9608488197,2020-12-30,342,STORE,5103.25,PHP,IN1003,TYPE3
6247149141,2020-11-26,686,STORE,4639.00,PHP,IN1005,TYPE5
0672443754,2020-02-05,MOB,MOBILE,6327.25,PHP,IN1001,TYPE1
7102867986,2020-12-11,MOB,MOBILE,5061.50,PHP,IN1004,TYPE4
